,ExperimentID,Method,Solution,CostFunctionValue,Duration
0,0,ILS,1552344.0,23375.0,24.641947
1,0,Heuristic,1799770.0,20628.0,0.066433
2,1,ILS,28532.0,26907.0,28.219299
3,1,Heuristic,29296.0,29258.0,0.109997
4,2,ILS,28342.0,28721.0,29.148383
5,2,Heuristic,335857.5,29145.0,0.093035
6,3,ILS,28163.0,28895.0,25.243245
7,3,Heuristic,255663.0,30147.0,0.120007
8,4,ILS,25090.0,26247.0,24.450486
9,4,Heuristic,77920.0,31178.0,0.102033
10,5,ILS,1708882.0,22813.0,24.865131
11,5,Heuristic,2330115.5,29444.0,0.120933
12,6,ILS,27030.0,29114.0,24.166353
13,6,Heuristic,32979.0,31210.0,0.098929
14,7,ILS,28877.0,29524.0,23.5049
15,7,Heuristic,127148.0,30569.0,0.064807
16,8,ILS,27858.0,28211.0,24.942733
17,8,Heuristic,73867.5,26952.0,0.08103
18,9,ILS,29018.0,28726.0,26.855517
19,9,Heuristic,112852.0,29016.0,0.110298
